vendor,product,iot,kev,1d,1d_uniq_ip,7d,30d,90d,history,cve,total,last_seen
Draytek,"Vigor3900, Vigor2960, Vigor300B",True,True,1142,211.0,265,167,86,{},CVE-2020-15415,27033,2026-02-07 13:05:04.330558
ASUS,GT-AC2900,True,True,964,4.0,919,808,975,{},CVE-2021-32030,680084,2026-02-08 13:05:44.209057
Palo Alto Networks,PAN-OS,True,True,744,23.0,219,313,403,{},CVE-2025-0108,214212,2026-02-08 13:05:44.080837
Schneider Electric,Schneider Electric U.Motion Builder,True,True,714,1.0,714,714,714,{},CVE-2018-7841,714,2025-11-25 12:56:15.378919
Microsoft,Exchange,True,True,657,487.0,702,689,675,{},CVE-2022-41082,182541,2026-02-07 13:05:04.219150
Seagate,BlackArmor NAS,True,True,586,3.0,133,203,147,{},CVE-2014-3206,333184,2026-02-08 13:05:44.233534
Belkin,Wemo,True,True,578,252.0,565,603,532,{},CVE-2019-12780,334649,2026-02-08 13:05:44.198222
Metabase,Metabase,True,True,537,136.0,508,608,618,{},CVE-2023-38646,380925,2026-02-08 13:05:44.063778
NETGEAR,NETGEAR DGN2200,True,True,496,1.0,250,170,128,{},CVE-2017-6334,876,2026-01-24 02:10:29.289882
D-Link,DCS-930L,True,True,480,1.0,242,162,122,{},CVE-2016-11021,1177,2026-01-24 02:10:29.256202
TP-Link,TP-Link Archer AX21,True,True,388,5.0,121,144,256,{},CVE-2023-1389,1121764,2026-02-08 13:05:44.129810
Linksys,Linksys E-Series,True,True,374,57.0,191,127,127,{},CVE-2025-34037,1024,2026-02-08 13:05:44.088740
Apache,Log4j,True,True,364,39.0,650,973,2038,{},CVE-2021-44228,2347312,2026-02-08 13:05:44.176851
Atlassian,Confluence,True,True,362,93.0,103,435,475,{},CVE-2021-26084,1839113,2026-02-07 13:05:04.238303
Apache,Axis2,True,True,355,3.0,115,89,59,{},CVE-2010-0219,69564,2026-02-08 13:05:44.173533
Palo Alto Networks,PAN-OS,True,True,332,3.0,239,100,102,{},CVE-2024-0012,84973,2026-02-08 13:05:44.200891
Realtek,Realtek SDK,True,True,329,298.0,388,506,484,{},CVE-2014-8361,818575,2026-02-07 13:05:04.351594
Dasan,Dasan GPON Home Router,True,True,321,279.0,342,377,517,{},CVE-2018-10562,305738,2026-02-08 13:05:44.064993
Totolink,Totolink N150RT,True,True,315,1.0,315,315,315,"{'20/10/2025': {'connections': 315, 'uniq_ips': 1}}",CVE-2025-3987,315,2025-10-20 12:54:08.035732
Zyxel,Eir D1000,True,True,311,281.0,332,337,454,{},CVE-2016-10372,167840,2026-02-08 13:05:44.239337
TBK,TBK DVR-4104/DVR-4216,True,True,299,5.0,249,692,830,{},CVE-2024-3721,319376,2026-02-06 13:16:16.269948
Zyxel/Billion,"ZyXEL P660HN-T1A v1, ZyXEL P660HN-T1A v2, Billion 5200W-T",True,True,298,15.0,357,1815,1754,{},CVE-2017-18368,331708,2026-02-07 13:05:04.210236
Netgear,Netgear DGN1000,True,True,281,260.0,330,230,220,{},CVE-2024-12847,3070,2026-02-08 13:05:44.101677
AirLink101,AirLink101 SkyIPCam1620W,True,True,253,1.0,253,253,253,"{'20/10/2025': {'connections': 253, 'uniq_ips': 1}}",CVE-2015-2280,253,2025-10-20 12:54:07.947659
Ignite Realtime,Openfire,True,True,250,1.0,250,250,250,{},CVE-2023-32315,2664,2025-12-30 02:10:47.273054
Tenda,Tenda G103,True,True,232,1.0,232,232,232,"{'20/10/2025': {'connections': 232, 'uniq_ips': 1}}",CVE-2023-27076,232,2025-10-20 12:54:08.070101
Cleo,"Cleo Harmony, VLTrader and LexiCom",True,True,186,1.0,186,111,111,{},CVE-2024-50623,717,2026-01-07 02:12:33.156127
QNAP,QNAP Music Station,True,True,181,1.0,267,272,501,{},CVE-2023-45038,17354,2026-02-07 13:05:04.311584
SonicWall,SonicOS,True,True,176,65.0,58,1473,1411,{},CVE-2022-22274,905807,2026-02-08 13:05:44.126661
SonicWall,SonicOS,True,True,173,65.0,50,1345,1315,{},CVE-2023-0656,457505,2026-02-08 13:05:44.093910
Shenzhen TVT,CCTV-DVR (rebranded by multiple vendors),True,True,170,161.0,151,98,94,{},CVE-2025-34036,1459,2026-02-08 13:05:44.144481
D-Link,"D-Link DIR-645, DAP-1522 revB, DAP-1650 revB, DIR-880L, DIR-865L, DIR-860L revA, DIR-860L revB DIR-815 revB, DIR-300 revB, DIR-600 revB, DIR-645, TEW-751DR, TEW-733GR",True,True,169,164.0,216,213,213,{},CVE-2015-2051,104962,2026-02-06 13:16:16.267399
Vacron,Network Video Recorder (NVR),True,True,120,107.0,130,96,92,{},CVE-2025-34043,822,2026-02-08 13:05:44.166708
GitLab,GitLab CE/EE,True,True,115,2.0,244,244,244,{},CVE-2021-22205,662,2026-01-18 12:54:10.853895
Apache,Cocoon,True,True,114,1.0,36,16,21,{},CVE-2020-11991,30817,2026-01-27 13:06:28.050795
Apache,OFBiz,True,True,109,1.0,115,46,28,{},CVE-2011-3600,37589,2026-02-08 13:05:44.192215
Genexis,Genexis PLATINUM 4410,True,True,107,1.0,107,308,299,"{'05/01/2026': {'connections': 107, 'uniq_ips': 1}}",CVE-2021-29003,2990,2026-01-05 13:01:40.021237
ZTE,"ZTE F460,F660",True,True,106,2.0,54,12,7,{},CVE-2014-2321,1145,2026-02-02 13:16:42.894872
Netgear,NETGEAR R/D Series Routers,True,True,92,89.0,97,101,97,{},CVE-2016-6277,20839,2026-02-02 13:16:42.881084
Commvault,CommCell,True,True,87,1.0,38,22,19,{},CVE-2021-34993,20782,2026-01-27 13:06:27.874036
Ivanti,"Endpoint Manager Mobile (EPMM), formerly MobileIron Core",True,True,87,10.0,363,266,316,{},CVE-2023-35078,415887,2026-02-06 13:16:16.335817
Cisco,Cisco RV320/RV325,True,True,84,55.0,200,136,88,{},CVE-2019-1653,26444,2026-02-06 13:16:16.416200
Progress,MOVEit Transfer,True,True,83,1.0,83,83,83,"{'24/10/2025': {'connections': 83, 'uniq_ips': 1}}",CVE-2024-5806,1012,2025-10-24 12:54:46.674460
D-Link,D-Link DIR-816/DIR-816A2,True,True,81,1.0,81,81,81,"{'10/10/2024': {'connections': 81, 'uniq_ips': 1}}",CVE-2021-39509,81,2024-10-10 12:43:46.553857
jQueryFileTree,jQueryFileTree,True,True,80,1.0,28,18,19,{},CVE-2017-1000170,30949,2026-01-27 13:06:27.962431
Apache,OFBiz,True,True,80,5.0,52,38,45,{},CVE-2024-45507,8079,2026-02-02 13:16:42.806268
Apache,ActiveMQ,True,True,65,6.0,41,67,48,{},CVE-2016-3088,68846,2026-02-07 13:05:04.223289
Synacor,Zimbra Collaboration Suite,True,True,60,2.0,31,19,17,{},CVE-2013-7091,68786,2026-02-06 13:16:16.384935
Hikvision,Hikvision Web Server,True,True,58,3.0,34,49,78,{},CVE-2021-36260,266392,2026-02-08 13:05:44.211883
Dahua,Dahua Intelligent Cloud Gateway Registration Management Platform,True,True,57,5.0,22,25,25,{},CVE-2025-34059,115,2026-02-06 13:16:16.388496
NETGEAR/NUUO,"NETGEAR ReadyNAS Surveillance, NUUO NVRmini, NUUO NVRsolo",True,True,56,4.0,47,99,78,{},CVE-2016-5674,103665,2026-02-07 13:05:04.345454
Byzoro,Byzoro Smart S85F Management Platform,True,True,56,1.0,56,56,56,{},CVE-2023-5683,56,2025-07-23 02:21:28.153396
Synacor,Zimbra Collaboration Suite,True,True,55,3.0,62,423,271,{},CVE-2019-9670,431625,2026-02-08 13:05:44.046577
Tongda,Tongda OA,True,True,55,1.0,55,55,55,{},CVE-2023-5285,55,2025-07-23 02:21:28.089562
PrestaShop,Posthemes - Static Footer module for PrestaShop,True,True,55,1.0,55,55,55,{},CVE-2023-30194,55,2025-07-23 02:21:28.198357
Schneider Electric,SpaceLogic C-Bus Home Controller (5200WHC2),True,True,55,1.0,34,15,18,{},CVE-2022-34753,12984,2026-01-27 13:06:27.896402
Apache,OFBiz,True,True,54,1.0,20,13,22,{},CVE-2024-45195,6353,2026-01-27 13:06:27.965683
TRENDnet,TRENDnet TEW-652BRP,True,True,51,1.0,51,51,51,"{'13/10/2024': {'connections': 51, 'uniq_ips': 1}}",CVE-2023-0611,51,2024-10-13 12:40:14.968297
CyberPanel,CyberPanel,True,True,50,2.0,50,36,36,{},CVE-2024-51567,4422,2025-12-30 12:58:50.660347
Atlassian,Confluence,True,True,48,3.0,44,213,211,{},CVE-2023-22527,331726,2026-02-08 13:05:44.136092
ASUS,ASUSWRT,True,True,44,1.0,44,44,44,"{'16/05/2025': {'connections': 44, 'uniq_ips': 1}}",CVE-2018-20334,95,2025-05-16 12:51:53.679090
Sonatype,Nexus Repository Manager,True,True,44,3.0,36,65,54,{},CVE-2019-7238,41901,2026-02-08 13:05:44.093491
Terramaster,TOS,True,True,43,1.0,43,43,43,{},CVE-2018-13350,43,2025-07-23 02:21:28.216865
TRENDnet,TRENDnet TEW-411BRPplus,True,True,42,1.0,42,42,22,{},CVE-2023-51833,256,2026-01-24 02:10:29.325662
Cisco,Cisco RV320/RV325,True,True,41,1.0,41,41,41,"{'13/10/2024': {'connections': 41, 'uniq_ips': 1}}",CVE-2019-1652,41,2024-10-13 12:40:14.946179
Draytek,"Draytek Vigor3900, Vigor2960, Vigor300B",True,True,41,1.0,41,41,41,"{'13/10/2024': {'connections': 41, 'uniq_ips': 1}}",CVE-2020-10826,41,2024-10-13 12:40:14.988179
Wifi-soft,Wifi-soft Unibox,True,True,41,1.0,41,41,41,{},CVE-2019-3495,41,2025-07-23 02:21:28.254409
Totolink,Totolink N600R,True,True,40,1.0,40,40,40,{},CVE-2022-28908,40,2025-07-23 02:21:28.105047
Shenzhen Sixun Software,Sixun Shanghui 7 Group Business Management System 7,True,True,40,1.0,40,40,40,{},CVE-2025-4281,40,2025-07-23 02:21:28.193212
SaltStack,Salt,True,True,39,2.0,30,88,361,{},CVE-2020-16846,118085,2026-02-08 13:05:44.201874
Linear,eMerge E3-Series,True,True,39,2.0,28,89,76,{},CVE-2019-7256,61527,2026-02-08 13:05:44.108461
Totolink,Totolink A810R,True,True,38,1.0,38,38,38,{},CVE-2025-28137,38,2025-07-23 02:21:28.133222
Cisco,Cisco ISE and ISE-PIC,True,True,37,1.0,37,30,23,{},CVE-2025-20281,1658,2026-01-24 02:10:29.236927
Guralp,Guralp MAN-EAM-0003,True,True,37,1.0,25,14,20,{},CVE-2022-38840,1238,2026-01-27 13:06:28.040006
kw199711,smanga,True,True,36,1.0,36,36,36,{},CVE-2024-34193,36,2025-07-23 02:21:28.158616
Oracle,Oracle Weblogic Server,True,True,36,3.0,39,76,52,{},CVE-2020-14882,44531,2026-02-06 13:16:16.306576
F5,BIG-IP,True,True,33,3.0,32,103,144,{},CVE-2021-22986,123588,2026-02-08 13:05:44.071968
Apache,ShenYu,True,True,32,2.0,26,35,30,{},CVE-2021-37580,17358,2026-02-07 13:05:04.298343
D-Link,D-Link DIR-600M,True,True,30,5.0,50,67,51,{},CVE-2019-13101,4492,2026-02-06 13:16:16.333458
Atlassian,Confluence,True,True,30,3.0,1178,1649,2170,{},CVE-2022-26134,13175458,2026-02-07 13:05:04.192379
Ruijie Networks,Ruijie RG-UAC Application Management Gateway,True,True,30,2.0,65,49,48,{},CVE-2023-7304,2051,2026-02-07 13:05:04.379339
Apache,Tapestry,True,True,28,2.0,23,41,34,{},CVE-2021-27850,32365,2026-02-07 13:05:04.196304
vBulletin,vBulletin,True,True,28,2.0,24,129,158,{},CVE-2020-17496,132246,2026-02-08 13:05:44.054610
Apache,OFBiz,True,True,27,1.0,15,20,21,{},CVE-2023-50968,25920,2026-02-07 13:05:04.288320
TBK,DVR4104/DVR4216 and multiple re-branded versions,True,True,27,2.0,6,29,16,{},CVE-2018-9995,92159,2026-02-08 13:05:44.130818
ownCloud,ownCloud,True,True,27,2.0,16,24,36,{},CVE-2023-49103,196991,2026-02-07 13:05:04.224896
Telesquare,Telesquare SDT-CW3B1,True,True,26,2.0,70,117,116,{},CVE-2021-46422,43107,2026-02-08 13:05:44.071343
Yonyou,NC BeanShell,True,True,26,2.0,68,63,60,{},CVE-2025-34039,324,2026-02-08 13:05:44.045303
D-Link,"D-Link DNS-320, DNS-320LW, DNS-325 and DNS-340L",True,True,25,5.0,125,132,171,"{'07/02/2026': {'connections': 25, 'uniq_ips': 3}}",CVE-2024-10914,43683,2026-02-02 13:16:42.853703
Apache,APISIX,True,True,25,2.0,26,40,42,{},CVE-2022-24112,21576,2026-02-07 13:05:04.215626
Shanghai Fanwei Network Technology,Panwei e-office,True,True,25,2.0,58,49,47,{},CVE-2025-34046,229,2026-02-08 13:05:44.231119
QNAP,QNAP NAS devices running Photo Station,True,True,25,3.0,223,145,181,{},CVE-2019-7192,167635,2026-02-08 13:05:44.209460
Changjetong,Changjetong T+,True,True,25,2.0,53,42,42,{},CVE-2023-7334,174,2026-02-08 13:05:44.166131
Totolink,Totolink Realtek SDK based routers,True,True,24,4.0,44,49,30,{},CVE-2019-19825,21833,2026-02-06 13:16:16.279404
D-Link,DNS-320,True,True,24,2.0,18,72,132,{},CVE-2020-25506,101575,2026-02-08 13:05:44.139478
Zimbra,Zimbra Collaboration Suite,True,True,24,2.0,19,1400,634,{},CVE-2020-7796,798984,2026-02-08 13:05:44.187210
TerraMaster,TOS,True,True,24,2.0,20,103,111,{},CVE-2020-35665,153494,2026-02-08 13:05:44.104448
ttimot24,HorizontCMS,True,True,24,1.0,24,24,24,"{'14/07/2025': {'connections': 24, 'uniq_ips': 1}}",CVE-2020-27387,24,2025-07-14 12:56:16.340971
Apache,Flink,True,True,24,2.0,10,46,31,{},CVE-2020-17519,55227,2026-02-07 13:05:04.288104
Wordpress,Wordpress WooCommerce Help Scout WordPress plugin,True,True,24,4.0,72,47,33,{},CVE-2021-24212,1003,2026-02-02 13:16:42.911974
Cockpit,Cockpit,True,True,24,2.0,20,137,99,{},CVE-2020-35131,123065,2026-02-08 13:05:44.140462
PrestaShop,PrestaShop ApolloTheme AP PageBuilder module,True,True,24,2.0,17,96,83,{},CVE-2022-22897,130100,2026-02-08 13:05:44.070317
Qingdao Easysoft,ZenTao,True,True,24,2.0,53,49,47,{},CVE-2022-4984,227,2026-02-08 13:05:44.147930
Node.js,Node.js (ejs),True,True,23,2.0,16,67,103,{},CVE-2022-29078,48291,2026-02-08 13:05:44.161694
Citrix,Citrix SD-WAN and NetScaler SD-WAN,True,True,23,2.0,20,44,42,{},CVE-2019-12985,68912,2026-02-08 13:05:44.096140
Apache,OFBiz,True,True,23,2.0,22,72,76,{},CVE-2021-26295,86755,2026-02-08 13:05:44.188023
Synacor,Zimbra Collaboration Suite,True,True,23,6.0,514,665,658,{},CVE-2022-37042,991738,2026-02-08 13:05:44.094094
Sonlogger,Sonlogger,True,True,23,2.0,23,62,76,{},CVE-2021-27964,32172,2026-02-08 13:05:44.074234
WAVLINK,WAVLINK WN535K2 and WN535K3,True,True,23,2.0,16,100,105,{},CVE-2022-2486,55510,2026-02-08 13:05:44.051945
VMware,VMware View Planner 4.x,True,True,23,2.0,18,45,41,{},CVE-2021-21978,37099,2026-02-08 13:05:44.102908
Six Apart (Movable Type),Movable Type,True,True,23,2.0,18,60,45,{},CVE-2021-20837,36847,2026-02-08 13:05:44.104025
WAVLINK,WAVLINK WN535K2 and WN535K3,True,True,23,2.0,16,96,99,{},CVE-2022-2488,62360,2026-02-08 13:05:44.092807
strapi,strapi,True,True,23,2.0,20,65,42,{},CVE-2019-18818,34718,2026-02-08 13:05:44.160734
Weaver,Weaver E-Office,True,True,23,2.0,23,51,46,{},CVE-2023-2648,18699,2026-02-08 13:05:44.093710
Apache,Unomi,True,True,23,2.0,32,79,68,{},CVE-2020-13942,41185,2026-02-08 13:05:44.237803
D-Link,DIR-868L/DIR-817LW,True,True,23,2.0,23,51,46,{},CVE-2019-17506,45552,2026-02-08 13:05:44.165741
IncomCMS,IncomCMS,True,True,23,2.0,16,57,45,{},CVE-2020-29597,49617,2026-02-08 13:05:44.189351
YouPHPTube,YouPHPTube Encoder,True,True,23,2.0,20,102,90,{},CVE-2019-5129,80456,2026-02-08 13:05:44.243140
D-Link,"D-Link DIR-615, DIR-655C, DIR-825, DIR-835, DIR-855L, DIR-866L, DIR-652, DIR-862L, DHP-1565, DAP-1533",True,True,23,2.0,44,125,218,{},CVE-2019-16920,133430,2026-02-08 13:05:44.133454
Spring,Spring Framework,True,True,23,2.0,16,45,42,{},CVE-2022-22965,42213,2026-02-08 13:05:44.102697
Lucee,Lucee Server,True,True,23,2.0,18,40,49,{},CVE-2021-21307,54864,2026-02-08 13:05:44.133233
FatPipe,FatPipe WARP/IPVPN/MPVPN,True,True,22,2.0,22,44,33,{},CVE-2021-27855,9521,2026-02-08 13:05:44.201077
NETGEAR,"WN604, WN802Tv2, WNAP210v2, WNAP320, WNDAP350, WNDAP360, and WNDAP660",True,True,22,2.0,24,76,187,{},CVE-2016-1555,118084,2026-02-08 13:05:44.050946
PrimeFaces,PrimeTek,True,True,22,2.0,25,66,105,{},CVE-2017-1000486,51984,2026-02-08 13:05:44.092987
Wordpress,Wordpress WPCargo Track & Trace plugin,True,True,22,2.0,17,52,67,{},CVE-2021-25003,102085,2026-02-08 13:05:44.059125
F5,F5 Big-IP,True,True,22,2.0,19,103,146,{},CVE-2020-5902,285577,2026-02-08 13:05:44.206235
VMware,VMware Workspace ONE Access,True,True,22,2.0,24,25,25,{},CVE-2022-22956,101,2026-02-08 13:05:44.165951
Citrix,Citrix SD-WAN and NetScaler SD-WAN,True,True,22,2.0,26,65,41,{},CVE-2019-12989,2199,2026-02-08 13:05:44.095270
D-Link,"DIR-810L, DIR-820L/LW, DIR-826L, DIR-830L, DIR-836L",True,True,22,2.0,16,73,135,{},CVE-2021-45382,70127,2026-02-08 13:05:44.222826
Roxy-WI,Roxy-WI,True,True,22,2.0,15,37,39,{},CVE-2022-31161,3480,2026-02-08 13:05:44.231965
Apache,Struts,True,True,22,1.0,12,11,21,{},CVE-2017-5638,12100,2026-02-08 13:05:44.144273
Wordpress,Wordpress Car Seller - Auto Classifieds Script plugin,True,True,22,2.0,17,42,33,{},CVE-2021-24285,24371,2026-02-08 13:05:44.188206
YouPHPTube,YouPHPTube Encoder,True,True,22,2.0,19,60,57,{},CVE-2019-5127,70457,2026-02-08 13:05:44.160316
Dell,Dell EMC Avamar Server and Dell EMC Integrated Data Protection Appliance,True,True,22,2.0,27,85,172,{},CVE-2018-1217,67780,2026-02-08 13:05:44.077872
Wordpress,Wordpress VR Calendar plugin,True,True,22,2.0,15,37,42,{},CVE-2022-2314,22346,2026-02-08 13:05:44.129364
Micro Focus,Operations Bridge Reporter (OBR),True,True,22,2.0,16,74,151,{},CVE-2021-22502,87686,2026-02-08 13:05:44.234345
RosarioSIS,RosarioSIS,True,True,22,2.0,17,43,33,{},CVE-2021-44427,11274,2026-02-08 13:05:44.108242
Tenda,Tenda AC11,True,True,22,2.0,16,73,137,{},CVE-2021-31755,77683,2026-02-08 13:05:44.192637
D-Link,D-Link multiple routers,True,True,22,2.0,21,88,136,{},CVE-2018-6530,79822,2026-02-08 13:05:44.071132
Drupal,Drupal,True,True,22,2.0,22,65,214,{},CVE-2018-7600,65969,2026-02-08 13:05:44.132202
VMware,vCenter,True,True,22,2.0,17,44,34,{},CVE-2021-22005,42329,2026-02-08 13:05:44.220457
Zoho,ManageEngine ADAudit Plus,True,True,22,2.0,15,38,39,{},CVE-2022-28219,16820,2026-02-08 13:05:44.071772
F5,BIG-IP,True,True,22,2.0,23,50,70,{},CVE-2022-1388,74080,2026-02-08 13:05:44.167004
Aviatrix,Aviatrix Controller,True,True,22,2.0,17,42,41,{},CVE-2021-40870,22842,2026-02-08 13:05:44.043664
Kramer,VIAware,True,True,22,2.0,23,50,52,{},CVE-2021-36356,25286,2026-02-08 13:05:44.098658
Sitecore,Sitecore XP,True,True,22,2.0,16,48,40,{},CVE-2021-42237,18327,2026-02-08 13:05:44.202793
TP-Link,TP-Link TL-WR840N EU v5,True,True,22,2.0,16,43,42,{},CVE-2021-41653,20667,2026-02-08 13:05:44.145268
Wordpress,Wordpress Infographic Maker plugin,True,True,22,2.0,16,41,32,{},CVE-2022-0747,15161,2026-02-08 13:05:44.069349
skittles,Simple Employee Records System 1.0,True,True,22,2.0,22,46,46,{},CVE-2021-4462,204,2026-02-08 13:05:44.139839
Geoserver,Geoserver (JAI-EXT),True,True,22,2.0,22,187,371,{},CVE-2022-24816,213284,2026-02-08 13:05:44.074053
rConfig,rConfig,True,True,22,2.0,19,74,55,{},CVE-2020-13638,66804,2026-02-08 13:05:44.151283
QNAP,QNAP NAS running HBS 3,True,True,22,2.0,22,46,46,{},CVE-2021-28799,236,2026-02-08 13:05:44.203199
WAVLINK,WAVLINK WN535K2 and WN535K3,True,True,22,2.0,14,37,33,{},CVE-2022-2487,17282,2026-02-08 13:05:44.217211
SAP,NetWeaver Development Infrastructure,True,True,22,2.0,16,37,33,{},CVE-2021-33690,16045,2026-02-08 13:05:44.128345
Zoho,ManageEngine ADSelfService Plus,True,True,22,2.0,18,50,79,{},CVE-2021-40539,77676,2026-02-08 13:05:44.064606
Wordpress,Wordpress Secure Copy Content Protection and Content Locking plugin,True,True,22,2.0,45,78,77,{},CVE-2021-24931,84004,2026-02-08 13:05:44.194955
Sunhillo,Sureline,True,True,22,2.0,16,70,134,{},CVE-2021-36380,71229,2026-02-08 13:05:44.101479
Realtek,Realtek SDK,True,True,22,2.0,52,119,150,{},CVE-2021-35395,70108,2026-02-08 13:05:44.042076
PuneethReddyHC,PuneethReddyHC,True,True,22,2.0,16,44,33,{},CVE-2021-41649,13345,2026-02-08 13:05:44.067260
Oracle,Oracle Weblogic Server,True,True,21,2.0,21,125,96,{},CVE-2019-2725,133232,2026-02-08 13:05:44.064002
TerraMaster,TOS,True,True,21,2.0,17,63,52,{},CVE-2020-15568,59042,2026-02-08 13:05:44.187642
YouPHPTube,YouPHPTube Encoder,True,True,21,2.0,46,99,82,{},CVE-2019-5128,80217,2026-02-06 13:16:16.340114
SonarQube,SonarQube,True,True,21,5.0,10,22,12,{},CVE-2020-27986,12299,2026-02-08 13:05:44.069144
Wordpress,Wordpress Plugin drag-and-drop-multiple-file-upload-contact-form-7,True,True,21,2.0,18,65,62,{},CVE-2020-12800,56145,2026-02-08 13:05:44.205833
Cisco,Cisco Prime Infrastructure (PI) and Cisco Evolved Programmable Network (EPN),True,True,21,2.0,20,62,51,{},CVE-2019-1821,45813,2026-02-08 13:05:44.100238
Atlassian,Confluence,True,True,21,2.0,17,42,55,{},CVE-2022-26138,60727,2026-02-08 13:05:44.046832
Wordpress,Wordpress Narnoo Distributor plugin,True,True,21,2.0,15,41,39,{},CVE-2022-0679,19190,2026-02-08 13:05:44.084180
Microsoft,Exchange,True,True,21,2.0,197,300,343,{},CVE-2021-26855,211686,2026-02-08 13:05:44.193344
MobileIron,MobileIron Mobile Device Management (MDM),True,True,21,2.0,21,96,129,{},CVE-2020-15505,100235,2026-02-08 13:05:44.090975
VMware,VMware NSX SD-WAN Edge,True,True,21,2.0,29,65,65,{},CVE-2018-6961,367,2026-02-08 13:05:44.179191
Wordpress,Wordpress KiviCare plugin,True,True,21,2.0,16,42,31,{},CVE-2022-0786,15430,2026-02-08 13:05:44.117127
Dairy Farm Shop Management System,Dairy Farm Shop Management System v1.0,True,True,21,2.0,14,38,33,{},CVE-2022-29007,14901,2026-02-08 13:05:44.076059
Wordpress,Wordpress WooCommerce Checkout Field Manager plugin,True,True,20,2.0,14,39,44,{},CVE-2022-4328,17007,2026-02-08 13:05:44.214520
Draytek,"Draytek Vigor2960, Vigor3900, Vigor300B",True,True,20,2.0,107,113,62,{},CVE-2020-8515,56266,2026-02-06 13:16:16.381444
Microchip Technology (Microsemi),SyncServer,True,True,20,2.0,14,35,36,{},CVE-2022-40022,15014,2026-02-08 13:05:44.105077
Fortinet,FortiNAC,True,True,20,2.0,20,38,64,{},CVE-2022-39952,22430,2026-02-08 13:05:44.127817
SAP,"NetWeaver Application Server ABAP, SAP NetWeaver Application Server Java, ABAP Platform, SAP Content Server 7.53 and SAP Web Dispatcher",True,True,20,3.0,31,25,19,"{'07/02/2026': {'connections': 20, 'uniq_ips': 2}}",CVE-2022-22536,691,2026-02-02 13:16:42.919047
PHPGurukul,Hospital Management System,True,True,20,2.0,14,30,28,{},CVE-2020-22165,12808,2026-02-08 13:05:44.114315
JEECG,jeecg-boot,True,True,20,2.0,20,34,29,{},CVE-2023-1454,12628,2026-02-08 13:05:44.055228
Laravel,Ignition,True,True,20,4.0,37,50,106,{},CVE-2021-3129,220783,2026-02-07 13:05:04.264292
Wordpress,Wordpress WooCommerce Dropshipping plugin,True,True,20,2.0,20,34,29,{},CVE-2022-3481,2201,2026-02-08 13:05:44.240024
Sophos,Sophos Mobile,True,True,19,2.0,14,36,32,{},CVE-2022-3980,13429,2026-02-08 13:05:44.155738
MLflow,MLflow,True,True,19,2.0,27,64,49,{},CVE-2023-1177,28739,2026-02-08 13:05:44.040573
RaspAP,RaspAP,True,True,19,2.0,14,36,37,{},CVE-2022-39986,16443,2026-02-08 13:05:44.200642
F5,BIG-IP,True,True,19,3.0,18,40,67,{},CVE-2023-46747,49316,2026-02-08 13:05:44.114934
Nette,Nette,True,True,19,1.0,19,6,6,"{'22/12/2025': {'connections': 19, 'uniq_ips': 1}}",CVE-2020-15227,1286,2025-12-22 12:57:04.152142
Wordpress,Wordpress Fontsy plugin,True,True,19,2.0,14,39,32,{},CVE-2022-4447,12530,2026-02-08 13:05:44.212092
IBM,Aspera Faspex,True,True,19,2.0,14,34,35,{},CVE-2022-47986,13583,2026-02-08 13:05:44.200048
WSO2,"WSO2 API Manager, API Microgateway",True,True,19,2.0,33,42,34,{},CVE-2020-24589,37653,2026-02-06 13:16:16.330599
